company,qtr_end_date,qtr_end_closing_price,Shares Outstanding,quarter,year,Net sales,Total expenses,PAT,ann_date,early_ann,company_code,stck_ann,next_day
G A I L (India) Ltd.,2010-12-31 00:00:00,95.78,1268477400,3,2010,83836.2,75886.7,9676.3,2011-01-18 00:00:00,1,GAIL,,
Reliance Industries Ltd.,2010-12-31 00:00:00,524.14,3272607533,3,2010,597890,559710,51360,2011-01-21 00:00:00,0,Reliance,,
Oil & Natural Gas Corpn. Ltd.,2010-12-31 00:00:00,215.57,2138872530,3,2010,208041.5,144054.7,70832.3,2011-01-28 00:00:00,0,ONGC,,
N T P C Ltd.,2010-12-31 00:00:00,167.17,8245464400,3,2010,132765,117938.5,23714.8,2011-01-31 00:00:00,0,NTPC,,
Adani Power Ltd.,2010-12-31 00:00:00,130.1,2180035200,3,2010,5026,4328.8,1091.1,2011-02-08 00:00:00,0,Adani,,
Power Grid Corpn. Of India Ltd.,2010-12-31 00:00:00,73.65,4629725353,3,2010,20521.2,15540.4,5911.9,2011-02-08 00:00:00,0,powerGrid,,
Indian Oil Corpn. Ltd.,2010-12-31 00:00:00,57.17,2427952482,3,2010,808728,802405.8,16347.6,2011-02-10 00:00:00,0,IOC,,
Tata Power Co. Ltd.,2010-12-31 00:00:00,131.79,237307236,3,2010,16518.8,15840.5,1530.7,2011-02-14 00:00:00,0,tataPower,,
Coal India Ltd.,2010-12-31 00:00:00,314.5,6316364400,3,2010,1431.5,2776.9,1153.7,2011-02-14 00:00:00,0,coal,,
Reliance Industries Ltd.,2011-03-31 00:00:00,518.96,3273374008,4,2010,726740,689410,53760,2011-04-21 00:00:00,1,Reliance,,
Adani Power Ltd.,2011-03-31 00:00:00,112.8,2180035200,4,2010,8555.7,7069.5,1743.2,2011-05-09 00:00:00,0,Adani,,
N T P C Ltd.,2011-03-31 00:00:00,160.83,8245464400,4,2010,151748.9,134085.7,27818.4,2011-05-10 00:00:00,0,NTPC,,
